article_id,instrument,evaluation_timestamp,prediction,realized,score,correct,primary_error_category,secondary_error_category,news,momentum,volume
66,US:AAPL,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.051791984789531,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.013844922046733371,0.23091230529853024,0.003522456590071721
98,US:AMZN,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.014114337072443,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.04825937383109255,-0.006704711991995682,0.0
99,US:AMZN,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.014114337072443,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.04825937383109255,-0.006704711991995682,0.0
100,US:AMZN,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.014114337072443,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.04825937383109255,-0.006704711991995682,0.0
101,US:AMZN,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.014114337072443,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.04825937383109255,-0.006704711991995682,0.0
140,US:GOOGL,2020-05-29 00:00:00,NEUTRAL,NEUTRAL,-0.0839835969345746,True,CORRECT,,-0.40690018173257875,0.23464366748093665,-0.023020641246802698
141,US:GOOGL,2020-05-29 00:00:00,NEUTRAL,NEUTRAL,-0.0839835969345746,True,CORRECT,,-0.40690018173257875,0.23464366748093665,-0.023020641246802698
142,US:GOOGL,2020-05-29 00:00:00,NEUTRAL,NEUTRAL,-0.0839835969345746,True,CORRECT,,-0.40690018173257875,0.23464366748093665,-0.023020641246802698
143,US:GOOGL,2020-05-29 00:00:00,NEUTRAL,NEUTRAL,-0.0839835969345746,True,CORRECT,,-0.40690018173257875,0.23464366748093665,-0.023020641246802698
144,US:GOOGL,2020-05-29 00:00:00,NEUTRAL,NEUTRAL,-0.0839835969345746,True,CORRECT,,-0.40690018173257875,0.23464366748093665,-0.023020641246802698
199,US:TSLA,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.089872511913073,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.332179783293494,-0.13799842525916833,0.1966773130884099
200,US:TSLA,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.089872511913073,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.332179783293494,-0.13799842525916833,0.1966773130884099
201,US:TSLA,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.089872511913073,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.332179783293494,-0.13799842525916833,0.1966773130884099
202,US:TSLA,2020-05-29 00:00:00,NEUTRAL,BULLISH,0.089872511913073,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,0.332179783293494,-0.13799842525916833,0.1966773130884099
102,US:AMZN,2020-05-30 00:00:00,NEUTRAL,NEUTRAL,0.0720899837117726,True,CORRECT,,0.004637609586834223,0.3403943064958224,0.018941366738850385
203,US:TSLA,2020-05-30 00:00:00,BULLISH,BEARISH,0.2103770993430322,False,NEWS_MARKET_AGREE_WRONG,,0.21246525692052123,0.6953358093861384,0.00423031425191589
204,US:TSLA,2020-05-30 00:00:00,BULLISH,BEARISH,0.2103770993430322,False,NEWS_MARKET_AGREE_WRONG,,0.21246525692052123,0.6953358093861384,0.00423031425191589
67,US:AAPL,2020-05-31 00:00:00,BEARISH,BULLISH,-0.257817272287184,False,NEWS_MARKET_CONFLICT,,-0.8999085237798863,0.17238457584155692,-0.07357380243637102
68,US:AAPL,2020-05-31 00:00:00,BEARISH,BULLISH,-0.257817272287184,False,NEWS_MARKET_CONFLICT,,-0.8999085237798863,0.17238457584155692,-0.07357380243637102
103,US:AMZN,2020-05-31 00:00:00,NEUTRAL,NEUTRAL,0.006449464740504,True,CORRECT,,-0.19995621577815875,0.3403943064958224,0.018941366738850385
104,US:AMZN,2020-05-31 00:00:00,NEUTRAL,NEUTRAL,0.006449464740504,True,CORRECT,,-0.19995621577815875,0.3403943064958224,0.018941366738850385
205,US:TSLA,2020-05-31 00:00:00,BULLISH,BEARISH,0.2425887627423826,False,NEWS_MARKET_AGREE_WRONG,,0.3128652467366782,0.6953358093861384,0.00423031425191589
185,US:NVDA,2020-05-31 07:05:12,BULLISH,BULLISH,0.4415884916744016,True,CORRECT,,1.0,0.557550193098584,0.11866275285898342
69,US:AAPL,2020-06-01 00:00:00,NEUTRAL,BULLISH,-0.0456122870887519,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.25186744308489284,0.17238457584155692,0.0
70,US:AAPL,2020-06-01 00:00:00,NEUTRAL,BULLISH,-0.0456122870887519,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.25186744308489284,0.17238457584155692,0.0
71,US:AAPL,2020-06-01 00:00:00,NEUTRAL,BULLISH,-0.0456122870887519,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.25186744308489284,0.17238457584155692,0.0
72,US:AAPL,2020-06-01 00:00:00,NEUTRAL,BULLISH,-0.0456122870887519,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.25186744308489284,0.17238457584155692,0.0
73,US:AAPL,2020-06-01 00:00:00,NEUTRAL,BULLISH,-0.0456122870887519,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.25186744308489284,0.17238457584155692,0.0
74,US:AAPL,2020-06-01 00:00:00,NEUTRAL,BULLISH,-0.0456122870887519,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.25186744308489284,0.17238457584155692,0.0
105,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
106,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
107,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
108,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
109,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
110,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
111,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
112,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
113,US:AMZN,2020-06-01 00:00:00,NEUTRAL,NEUTRAL,0.0924968589776668,True,CORRECT,,0.06824345457143934,0.3403943064958224,0.018941366738850385
145,US:GOOGL,2020-06-01 00:00:00,BEARISH,BULLISH,-0.2054800102485957,False,NEWS_MARKET_CONFLICT,,-0.8827036081961889,0.39383917434040977,-0.046081726516893684
206,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
207,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
208,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
209,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
210,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
211,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
212,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
213,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
214,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
215,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
216,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
217,US:TSLA,2020-06-01 00:00:00,BULLISH,BEARISH,0.3317207928583273,False,NEWS_MARKET_AGREE_WRONG,,0.5906793665785838,0.6953358093861384,0.00423031425191589
75,US:AAPL,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.0622450774001918,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.10954861638777859,0.41997032492733477,0.19967972260468492
76,US:AAPL,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.0622450774001918,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.10954861638777859,0.41997032492733477,0.19967972260468492
77,US:AAPL,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.0622450774001918,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.10954861638777859,0.41997032492733477,0.19967972260468492
78,US:AAPL,2020-06-02 00:00:00,NEUTRAL,BULLISH,0.0622450774001918,False,NEUTRAL_BAND_MISS,INSUFFICIENT_DIRECTIONAL_EVIDENCE,-0.10954861638777859,0.41997032492733477,0.19967972260468492
